barometerValue,gzValue,mzValue,gpsTimeInMillis,systemTimeInMillis,myValue,zValue,tc,mxValue,latitudeValue,gxValue,lightValue,longitudeValue,xValue,altitudeValue,gyValue,yValue,globalFrame,temperatureValue
1004.8395,-0.0026855469,-52.67639,1682811866000,1682811863939,27.464294,9.547363,00:58:57:04,24.272156,34.030098,-0.0035095215,35.0,-118.75661,0.275177,24.0,0.0015106201,0.114852905,1141,0.0
1004.8395,-0.005126953,-55.519104,1682811866000,1682811863983,24.891663,9.561722,00:58:57:05,26.27716,34.030098,0.00015258789,35.0,-118.75661,0.26081848,24.0,0.0015106201,0.088531494,1142,0.0
1004.84625,-0.00024414062,-51.950073,1682811866000,1682811864061,25.486755,9.552155,00:58:57:06,24.227905,34.030098,0.00015258789,35.0,-118.75661,0.25842285,24.0,-0.00093078613,0.093322754,1143,0.0
1004.84625,-0.0014648438,-54.80957,1682811866000,1682811864095,25.515747,9.568893,00:58:57:07,24.916077,34.030098,0.001373291,35.0,-118.75661,0.25125122,24.0,0.0015106201,0.098098755,1144,0.0
1004.84625,0.0009765625,-50.523376,1682811866000,1682811864144,26.13678,9.556931,00:58:57:08,24.243164,34.030098,-0.0022888184,35.0,-118.75661,0.26081848,24.0,-0.002166748,0.098098755,1145,0.0
1004.84625,-0.00024414062,-54.093933,1682811866000,1682811864168,25.49591,9.564117,00:58:57:09,24.22638,34.030098,-0.0010681152,35.0,-118.75661,0.25602722,24.0,-0.002166748,0.095718384,1146,0.0
1004.84283,-0.0014648438,-51.234436,1682811867000,1682811864216,25.515747,9.559326,00:58:57:10,25.6073,34.030098,0.00015258789,35.0,-118.75661,0.2632141,24.0,0.0002746582,0.093322754,1147,0.0
1004.84283,-0.005126953,-52.66266,1682811867000,1682811864260,24.769592,9.544968,00:58:57:11,21.455383,34.030098,-0.0010681152,35.0,-118.75661,0.2632141,24.0,-0.00093078613,0.086135864,1148,0.0
1004.84283,-0.00024414062,-51.239014,1682811867000,1682811864295,26.141357,9.549759,00:58:57:12,24.243164,34.030098,-0.0035095215,35.0,-118.75661,0.25602722,24.0,-0.00093078613,0.098098755,1149,0.0
1004.84283,0.0021972656,-53.385925,1682811867000,1682811864331,26.794434,9.552155,00:58:57:13,23.568726,34.030098,0.001373291,35.0,-118.75661,0.25602722,24.0,-0.002166748,0.088531494,1150,0.0
1004.84283,0.0021972656,-52.668762,1682811867000,1682811864385,26.14746,9.568893,00:58:57:14,24.241638,34.030098,-0.0010681152,35.0,-118.75661,0.2632141,24.0,0.0015106201,0.088531494,1151,0.0
1004.84534,-0.00024414062,-51.94397,1682811867000,1682811864412,24.85962,9.559326,00:58:57:15,25.592041,34.030098,0.002609253,35.0,-118.75661,0.2536316,24.0,-0.002166748,0.093322754,1152,0.0
1004.84534,-0.0014648438,-51.945496,1682811867000,1682811864455,24.827576,9.552155,00:58:57:16,24.212646,34.030098,0.001373291,35.0,-118.75661,0.275177,24.0,0.0015106201,0.098098755,1153,0.0
1004.84534,-0.0014648438,-50.520325,1682811867000,1682811864501,25.463867,9.542572,00:58:57:17,23.539734,34.030098,-0.0035095215,35.0,-118.75661,0.2679901,24.0,0.0002746582,0.093322754,1154,0.0
1004.84534,-0.0026855469,-52.66571,1682811867000,1682811864529,25.45929,9.549759,00:58:57:18,22.84851,34.030098,0.001373291,35.0,-118.75661,0.25602722,24.0,-0.002166748,0.095718384,1155,0.0
1004.84534,-0.00024414062,-51.95465,1682811867000,1682811864580,26.835632,9.566513,00:58:57:19,25.637817,34.030098,-0.0022888184,35.0,-118.75661,0.25842285,24.0,-0.00093078613,0.098098755,1156,0.0
